ConditionID,InspectionID,Distance,Counter,PACP_Code,Continuous,Value_1st_Dimension,Value_2nd_Dimension,Value_Percent,Joint,Clock_At_From,Clock_To,Remarks,VCR_Time
691,70,0,52,MWL,,,,5,FALSE,,,,
692,70,29.89999962,315,TF,,6,,0,FALSE,3,,,
693,70,42.09999847,436,TF,,6,,0,FALSE,9,,,
694,70,94,791,FM,,,,0,TRUE,7,8,,
695,70,94,864,IR,,,,0,TRUE,7,8,,
696,70,113.6999969,1017,FM,,,,0,TRUE,1,3,,
697,70,119.4000015,1093,TF,,6,,0,FALSE,9,,,
698,70,146.3000031,1271,TFA,,6,,0,FALSE,3,,,
699,70,213.3999939,1659,TF,,6,,0,FALSE,9,,,
700,70,235.3000031,1835,TFA,,6,,0,FALSE,3,,,
701,70,262,2034,DAGS,,,,5,FALSE,7,,,
702,70,266.7000122,2094,CL,,,,0,TRUE,8,,,
703,70,297.2999878,2316,TFA,,6,,0,FALSE,9,,,
704,70,302.7000122,2404,AMH,,,,0,FALSE,,,SANMH500441,
705,71,0,8,AMH,,,,0,FALSE,,,SANMH500441,
706,71,0,37,MWL,,,,5,FALSE,,,,
707,71,15.5,191,TFA,,6,,0,FALSE,3,,,
708,71,77.90000153,541,TF,,6,,0,FALSE,9,,,
709,71,114.5999985,857,FM,,,,0,TRUE,6,10,,
710,71,115.0999985,899,TFA,,6,,0,FALSE,3,,,
711,71,121.6999969,990,CL,,,,0,FALSE,10,,,
712,71,157.3000031,1223,TF,,6,,0,FALSE,9,,,
713,71,191.8999939,1560,MGO,,,,0,FALSE,,,concret in manhole,
714,71,191.8999939,1609,AMH,,,,0,FALSE,,,SANMH500440,
715,72,0,6,AMH,,,,0,FALSE,,,SANMH500262,
716,72,0,24,MWL,,,,5,FALSE,,,,
717,72,0,40,MGO,,,,0,FALSE,,,connection in manhole,
718,72,0,46,MWL,,,,5,FALSE,,,,
719,72,31.10000038,283,TF,,6,,0,FALSE,9,,,
720,72,47.79999924,412,DAGS,,,,5,FALSE,9,3,,
721,72,57.70000076,481,DAGS,,,,5,FALSE,10,2,,
722,72,62.5,534,DAGS,,,,5,FALSE,9,3,,
723,72,67,582,DAGS,S01,,,5,FALSE,8,4,,
724,72,79.30000305,655,DAGS,F01,,,5,FALSE,8,4,,
725,72,93.40000153,737,TF,,6,,0,FALSE,9,,,
